sample_ID,subSample_ID,project,subsample_Depth,date_Taken,quadrant,bed_ID,o_or_I,total_Sample_Depth,pH_water,pH_salt,conductivity_Micromhos,percent_Nitrogen,percent_Carbon,cN_ratio,Rep_Percent_Nit,Rep_Percent_Carb,Rep_CN_ratio,ammonia_ppb,nitrate_ppb,respiration_microlitersPerTwentyGrams,Column1,repDayOf_Respiration,repFull_Respiration,,,,,,,,,,,,,,
RN-O-2,RN-O-2-1,1,0-15,10/13/23,RN,outside,O,2,7.42,6.73,133.2,0.309,4.46,14.4,,,,9.88952,9.6388,26228.4451,1311.422255,,,,,,,,,,,,,,,,
RN-O-2,RN-O-2-2,1,15-30,10/13/23,RN,outside,O,2,7.38,6.16,52.9,0.051,0.59,11.6,,,,5.17672,1.71656,11612.6419,580.632095,,,,,,,,,,,,,,,,
RN-O-2,RN-O-2-3,1,30-60,10/13/23,RN,outside,O,2,5.76,5.23,44.3,,,,,,,7.25744,0.46912,,,,,,,,,,,,,,,,,,
RN-O-1,RN-O-1-1,1,0-15,10/13/23,RN,outside,O,1,7.42,6.76,107.6,0.18,2.3,12.8,,,,6.93624,7.50592,20072.5135,1003.625675,20273.6916,17035.96784,,,,,,,,,,,,,,
RN-O-1,RN-O-1-2,1,15-30,10/13/23,RN,outside,O,1,7.35,6.38,44.3,0.033,0.39,11.8,,,,5.87616,0.81136,12440.2956,622.01478,,,,,,,,,,,,,,,,
RN-O-1,RN-O-1-3,1,30-60,10/13/23,RN,outside,O,1,5.4,4.8,47.8,,,,,,,6.01224,0.79968,,,,,,,,,,,,,,,,,,
RN-O-1,RN-O-1-4,1,60-100,10/13/23,RN,outside,O,1,5.06,4.34,34.7,,,,,,,7.72504,1.10704,,,,,,,,,,,,,,,,,,
RN-O-1,RN-O-1-5,1,100-150,10/13/23,RN,outside,O,1,4.79,4.05,27.3,,,,,,,6.76328,7.56792,,,,,,,,,,,,,,,,,,
RN-I-2 (HT),RN-I-2-1,1,0-15,10/6/23,RN,RN - 3,I,2,7.11,6.93,371,0.504,6.97,13.8,0.441,6.18,14,7.532,77.49512,,,,,,,,,,,,,,,,,,
RN-I-2 (HT),RN-I-2-2,1,15-30,10/6/23,RN,RN - 3,I,2,7.26,6.83,349,0.225,3.48,15.5,,,,8.46648,37.80272,,,,,,,,,,,,,,,,,,
RN-I-2 (HT),RN-I-2-3,1,30-60,10/6/23,RN,RN - 3,I,2,6.32,6.04,88.5,,,,,,,5.51576,8.87736,,,,,,,,,,,,,,,,,,
RN-I-1,RN-I-1-1,1,0-15,10/6/23,RN,RN - 9,I,1,7.43,6.98,264,0.496,7.42,15,,,,8.544,11.05128,,,,,,,,,,,,,,,,,,
RN-I-1,RN-I-1-2,1,15-30,10/6/23,RN,RN - 9,I,1,7.46,6.87,197.6,0.294,4.28,14.6,,,,9.39472,12.70064,,,,,,,,,,,,,,,,,,
RN-I-1,RN-I-1-3,1,30-60,10/6/23,RN,RN - 9,I,1,6.83,6.43,77.9,,,,,,,5.0604,1.67968,,,,,,,,,,,,,,,,,,
RN-I-1,RN-I-1-4,1,60-100,10/6/23,RN,RN - 9,I,1,4.81,4.23,55,,,,,,,6.63576,1.114,,,,,,,,,,,,,,,,,,
RN-I-1,RN-I-1-5,1,100-150,10/6/23,RN,RN - 9,I,1,4.59,4.03,51.2,,,,,,,8.3436,4.88656,,,,,,,,,,,,,,,,,,
RS-O-2,RS-O-2-1,1,0-15,10/13/23,RS,outside,O,2,6.74,6.14,55.9,0.133,1.75,13.2,,,,8.0644,3.14232,33759.4858,1687.97429,,,,,,,,,,,,,,,,
RS-O-2,RS-O-2-2,1,15-30,10/13/23,RS,outside,O,2,6.41,5.77,42.2,0.045,0.54,12,0.048,0.52,10.8,6.76008,0.5852,17267.0009,863.350045,,11084.01768,,,,,,,,,,,,,,
RS-O-2,RS-O-2-3,1,30-60,10/13/23,RS,outside,O,2,5.24,4.29,24.9,,,,,,,7.61064,0.20008,,,,,,,,,,,,,,,,,,
RS-O-1,RS-O-1-1,1,0-15,10/13/23,RS,outside,O,1,6.09,4.98,42,0.099,1.05,10.6,,,,10.33648,1.17808,21510.3682,1075.51841,,6626.94368,,,,,,,,,,,,,,
RS-O-1,RS-O-1-2,1,15-30,10/13/23,RS,outside,O,1,6.35,4.71,14.8,0.021,0.26,12.4,0.021,0.25,11.9,7.53064,0.34016,6814.56432,340.728216,7564.57032,,,,,,,,,,,,,,,
RS-O-1,RS-O-1-3,1,30-60,10/13/23,RS,outside,O,1,5.5,4.91,13.1,,,,,,,7.882,0.05344,,,,,,,,,,,,,,,,,,
RS-O-1,RS-O-1-4,1,60-100,10/13/23,RS,outside,O,1,5.41,4.55,11.8,,,,,,,5.5,0.23992,,,,,,,,,,,,,,,,,,
