bed_ID,quadrant,bed_Number,year_Started,years_RA,,,,,,,,,,,,,,,,,,
RN - 1,RN,1,2016,7,,,,,,,,,,,,,,,,,,
RN - 2,RN,2,2016,7,,,,,,,,,,,,,,,,,,
RN - 3,RN,3,2016,7,,,,,,,,,,,,,,,,,,
RN - 4,RN,4,2016,7,,,,,,,,,,,,,,,,,,
RN - 5,RN,5,2016,7,,,,,,,,,,,,,,,,,,
RN - 6,RN,6,2016,7,,,,,,,,,,,,,,,,,,
RN - 7,RN,7,2014,9,,,,,,,,,,,,,,,,,,
RN - 8,RN,8,2014,9,,,,,,,,,,,,,,,,,,
RN - 9,RN,9,2014,9,,,,,,,,,,,,,,,,,,
RN - 10,RN,10,2014,9,,,,,,,,,,,,,,,,,,
RN - 11,RN,11,2014,9,,,,,,,,,,,,,,,,,,
RN - 12,RN,12,2014,9,,,,,,,,,,,,,,,,,,
RN - 13,RN,13,2014,9,,,,,,,,,,,,,,,,,,
RN - 14,RN,14,2014,9,,,,,,,,,,,,,,,,,,
RN - 15,RN,15,2014,9,,,,,,,,,,,,,,,,,,
RN - 16,RN,16,2014,9,,,,,,,,,,,,,,,,,,
RN - 17,RN,17,2014,9,,,,,,,,,,,,,,,,,,
RN - 18,RN,18,2014,9,,,,,,,,,,,,,,,,,,
RN - 19,RN,19,2014,9,,,,,,,,,,,,,,,,,,
RN - 20,RN,20,2014,9,,,,,,,,,,,,,,,,,,
RN - 21,RN,21,2014,9,,,,,,,,,,,,,,,,,,
RN - 22,RN,22,2014,9,,,,,,,,,,,,,,,,,,
RN - 23,RN,23,2014,9,,,,,,,,,,,,,,,,,,
RN - 24,RN,24,2014,9,,,,,,,,,,,,,,,,,,
RN - 25,RN,25,2014,9,,,,,,,,,,,,,,,,,,
RS - 1,RS,1,2015,8,,,,,,,,,,,,,,,,,,
RS - 2,RS,2,2015,8,,,,,,,,,,,,,,,,,,
RS - 3,RS,3,2015,8,,,,,,,,,,,,,,,,,,
RS - 4,RS,4,2015,8,,,,,,,,,,,,,,,,,,
RS - 5,RS,5,2015,8,,,,,,,,,,,,,,,,,,
RS - 6,RS,6,2015,8,,,,,,,,,,,,,,,,,,
RS - 7,RS,7,2015,8,,,,,,,,,,,,,,,,,,
RS - 8,RS,8,2015,8,,,,,,,,,,,,,,,,,,
RS - 9,RS,9,2015,8,,,,,,,,,,,,,,,,,,
RS - 10,RS,10,2015,8,,,,,,,,,,,,,,,,,,
RS - 11,RS,11,2015,8,,,,,,,,,,,,,,,,,,
RS -12,RS,12,2015,8,,,,,,,,,,,,,,,,,,
RS- 13,RS,13,2015,8,,,,,,,,,,,,,,,,,,
RS - 14,RS,14,2015,8,,,,,,,,,,,,,,,,,,
RS - 15,RS,15,2015,8,,,,,,,,,,,,,,,,,,
RS - 16,RS,16,2015,8,,,,,,,,,,,,,,,,,,
RS - 17,RS,17,2015,8,,,,,,,,,,,,,,,,,,
RS - 18,RS,18,2015,8,,,,,,,,,,,,,,,,,,
RS - 19,RS,19,2015,8,,,,,,,,,,,,,,,,,,
RS - 20,RS,20,2015,8,,,,,,,,,,,,,,,,,,
RS - 21,RS,21,2015,8,,,,,,,,,,,,,,,,,,
RS - 22,RS,22,2015,8,,,,,,,,,,,,,,,,,,
RS - 23,RS,23,2015,8,,,,,,,,,,,,,,,,,,
RS - 24,RS,24,2015,8,,,,,,,,,,,,,,,,,,
RS - 25,RS,25,2015,8,,,,,,,,,,,,,,,,,,
HN - 1,HN,1,2010,13,,,,,,,,,,,,,,,,,,
HN - 2,HN,2,2010,13,,,,,,,,,,,,,,,,,,
HN - 3,HN,3,2010,13,,,,,,,,,,,,,,,,,,
HN - 4,HN,4,2010,13,,,,,,,,,,,,,,,,,,
HN - 5,HN,5,2010,13,,,,,,,,,,,,,,,,,,
HN - 6,HN,6,2012,11,,,,,,,,,,,,,,,,,,
HN - 7,HN,7,2012,11,,,,,,,,,,,,,,,,,,
HN - 8,HN,8,2012,11,,,,,,,,,,,,,,,,,,
HN - 9,HN,9,2012,11,,,,,,,,,,,,,,,,,,
HN - 10,HN,10,2012,11,,,,,,,,,,,,,,,,,,
HN - 11,HN,11,2012,11,,,,,,,,,,,,,,,,,,
HN - 12,HN,12,2012,11,,,,,,,,,,,,,,,,,,
